first_name,last_name,phone,employee_id,applicant,email,account_name
Annette,Whitmore,403-632-4551,9000001,1,annette.whitmore@sl.on.ca,7E9P9
Michael,Lawson,705-684-1553,9000002,0,michael.lawson@student.sl.on.ca,8C1U9
Zara,Akhtakhanov,604-518-8002,9000003,0,zara.akhtakhanov@student.sl.on.ca,3YnO6
Karina,Chichigov,780-405-1797,9000004,0,karina.chichigov@student.sl.on.ca,9a761
Bisultan,Kadiev,780-405-1797,9000005,1,bisultan.kadiev@sl.on.ca,4fCc7
Vakha,Usamov,905-654-3001,9000006,1,vakha.usamov@sl.on.ca,6M8n5
Robert,Gould,416-794-5925,9000007,1,robert.gould@sl.on.ca,3RsK4
Michael,Green,418-690-4778,9000008,1,michael.green@sl.on.ca,3gf34
Charles,Jones,306-846-5601,9000009,0,charles.jones@student.sl.on.ca,46xS5
Vakha,Usamov,506-639-4264,9000010,1,vakha.usamov1@sl.on.ca,7BwU9
